"","geohash","PLANTA","usuarios","LATITUD","LONGITUD"
"1","eyzsj5umy","2",5,38.693482875824,-0.477283000946045
"2","eyzsj5uqw","3",5,38.6936116218567,-0.477283000946045
"3","eyzsjhhgn","3",5,38.694384098053,-0.476596355438232
"4","eyzsjhj50","2",5,38.694384098053,-0.476510524749756
"5","eyzsjhj5j","3",5,38.694384098053,-0.476295948028564
"6","eyzsjhj6s","0",5,38.6942982673645,-0.475995540618896
"7","eyzsjhj7n","2",5,38.694384098053,-0.47590970993042
"8","eyzsjhjec","0",5,38.6945128440857,-0.475780963897705
"9","eyzsjhjkq","0",5,38.6945986747742,-0.47590970993042
"10","eyzsjhjs3","0",5,38.6945986747742,-0.475780963897705
"11","eyzsjhjsc","0",5,38.6946845054626,-0.475780963897705
"12","eyzsjhjtt","0",5,38.6948132514954,-0.475609302520752
"13","eyzvu4zp9","2",5,38.9959073066711,-0.166103839874268
"14","eyzvu5ne5","2",5,38.9965081214905,-0.166704654693604
"15","eyzvu5ngp","0",5,38.9965081214905,-0.166189670562744
"16","ezpb855zd","0",5,39.4806790351868,-0.346305370330811
"17","ezpb856xr","0",5,39.4820094108582,-0.34780740737915
"18","ezpb856zf","0",5,39.4820952415466,-0.347678661346436
"19","ezpb8570v","3",5,39.480893611908,-0.347206592559814
"20","ezpb8571r","0",5,39.4809794425964,-0.347120761871338
"21","ezpb8571r","1",5,39.4809794425964,-0.347120761871338
"22","ezpb8571r","2",5,39.4809794425964,-0.347120761871338
"23","ezpb857nt","0",5,39.4818806648254,-0.347206592559814
"24","ezpb857ru","0",5,39.4820952415466,-0.346906185150146
"25","ezpb857vd","1",5,39.4817090034485,-0.346305370330811
"26","ezpb85dgy","1",5,39.4827818870544,-0.347506999969482
"27","ezpb85e0r","0",5,39.4821810722351,-0.347120761871338
"28","ezpb85e26","0",5,39.4821810722351,-0.346992015838623
"29","ezpb85e3d","2",5,39.4823956489563,-0.346992015838623
"30","ezpb85e3h","3",5,39.4823098182678,-0.346906185150146
"31","ezpb85e3n","2",5,39.4823098182678,-0.34682035446167
"32","ezpb85e40","2",5,39.4824814796448,-0.347421169281006
"33","ezpb85e45","3",5,39.4824814796448,-0.347292423248291
"34","ezpb85e5z","3",5,39.4827818870544,-0.347120761871338
"35","ezpb85e7u","0",5,39.4827818870544,-0.346906185150146
